priority,client,nome_retain,renocao_prevista,fy24_total_hours,horas_demanda,trimestral,senior,staff3,staff2,trainee,horas_locadas,01-07-2023,08-07-2023,15-07-2023,22-07-2023,29-07-2023,05-08-2023,12-08-2023,19-08-2023,26-08-2023,02-09-2023,09-09-2023,16-09-2023,23-09-2023,30-09-2023,07-10-2023,14-10-2023,21-10-2023,28-10-2023,04-11-2023,11-11-2023,18-11-2023,25-11-2023,02-12-2023,09-12-2023,16-12-2023,23-12-2023,30-12-2023,06-01-2024,13-01-2024,20-01-2024,27-01-2024,03-02-2024,10-02-2024,17-02-2024,24-02-2024,02-03-2024,09-03-2024,16-03-2024,23-03-2024,30-03-2024,06-04-2024,13-04-2024,20-04-2024,27-04-2024,04-05-2024,11-05-2024,18-05-2024,25-05-2024,01-06-2024,08-06-2024,15-06-2024,22-06-2024
9,FUGRO,FUGRO, Yes ,1200,900,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,LABORATORIES SERVIER,SERVIER, Yes ,1150,640,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,FUNDOS BBI Fin Health - Investidas,FINHEALTH, Yes ,1125,844,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,AET STS,AET, Yes ,1100,800,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,BOLT Energia,BOLT Energia, Yes ,1100,825,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,FCC,FCC, Yes ,1100,825,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,CHANNEL (EUROPRESTIGIO),EUROPRESTIGIO, Yes ,1068,650,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,AXXON (BR MARINAS),BR MARINAS, Yes ,1000,810,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,TELEPAZIO BRASIL (Leonardo),TELEPAZIO, Yes ,1000,600,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,GALP,PETROGAL, Yes ,1000,500,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,GEOPARK,GEOPARK, Yes ,1000,600,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,SONANGOL STARFISH,SONANGOL, Yes ,1000,950,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
